date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tlt_adj_close,tlt_volume
2014-01-02,,,,,1831.97998046875,3080600000,77.40084075927734,3728200,76.41887664794922,1346600,73.0261459350586,8580800
2014-01-03,,,,,1831.3699951171875,2774270000,77.38453674316406,3206300,76.44756317138672,2293500,73.0261459350586,4083800
2014-01-06,,,,,1826.77001953125,3294850000,77.18101501464844,3169400,76.54808044433594,4413900,73.33351135253906,7796200
2014-01-07,,,,,1837.8800048828125,3511750000,77.67759704589844,2617200,76.58390045166016,1255700,73.5193099975586,4428100
2014-01-08,,,,,1837.489990234375,3652140000,77.73457336425781,3783100,76.35427856445312,1090800,73.31919860839844,8513000
2014-01-09,,,,,1838.1300048828125,3581150000,77.79969787597656,3440500,76.4619369506836,829400,73.748046875,6991100
2014-01-10,,,,,1842.3699951171875,3335710000,78.01946258544922,2903700,76.84947204589844,1484400,74.62716674804688,13197400
2014-01-13,,,,,1819.199951171875,3591350000,77.03448486328125,4322200,76.9211654663086,1139500,74.99886322021484,9667400
2014-01-14,,,,,1838.8800048828125,3353270000,77.88111114501953,2660500,76.80636596679688,987500,74.65579986572266,10343100
2014-01-15,,,,,1848.3800048828125,3777800000,78.27183532714844,2525100,76.74181365966797,1664800,74.5771713256836,7507500
2014-01-16,,,,,1845.8900146484375,3491310000,78.21488189697266,3058200,76.9211654663086,3113700,75.07749938964844,7137700
2014-01-17,,,,,1838.699951171875,3626120000,77.9136962890625,2716300,76.95703125,588700,75.3919448852539,7588600
2014-01-21,,,,,1843.800048828125,3782470000,78.17415618896484,5557200,76.99298095703125,1777100,75.44915771484375,6436000
2014-01-22,,,,,1844.8599853515625,3374170000,78.32071685791016,1860300,76.82787322998047,892900,75.26332092285156,4646700
2014-01-23,,,,,1828.4599609375,3972250000,77.64503479003906,3223500,77.02876281738281,1901200,76.32833862304688,12960600
2014-01-24,,,,,1790.2900390625,4618450000,75.96807098388672,7275200,77.19384765625,783200,76.82149505615234,11122200
2014-01-27,,,,,1781.56005859375,4045200000,75.47962188720703,6664700,77.02876281738281,1335000,76.28543090820312,9218200
2014-01-28,,,,,1792.5,3437830000,76.00877380371094,10136000,77.1579818725586,1306400,76.47127532958984,5661500
2014-01-29,,,,,1774.199951171875,3964020000,75.22728729248047,4720200,77.38758087158203,1116200,77.1002197265625,11709400
2014-01-30,,,,,1794.18994140625,3547510000,76.10646057128906,2540800,77.40192413330078,3074400,76.87863159179688,5956900
2014-01-31,,,,,1782.5899658203125,4059690000,75.60987091064453,4099600,77.54544067382812,3195200,77.39327239990234,14690900
