asset,train_start,train_end,test_start,test_end,rmse,r2,learning_rate,max_depth,n_estimators
BTC,2017-12-01,2024-05-17,2024-05-24,2026-01-02,0.04671800245656358,-2.908501851392114,0.03,2,100
ETH,2017-12-08,2024-05-17,2024-05-24,2026-01-02,0.02774286289405891,-0.1448821635171793,0.03,2,100
