date,open,high,low,close,adj_close,volume
2014-01-02,101.72000122070312,102.38999938964844,101.69000244140625,102.16999816894531,73.0261459350586,8580800
2014-01-03,101.80999755859375,102.44999694824219,101.76000213623047,102.16999816894531,73.0261459350586,4083800
2014-01-06,102.37999725341797,103.0,102.37000274658203,102.5999984741211,73.33351135253906,7796200
2014-01-07,102.81999969482422,102.98999786376953,102.55999755859375,102.86000061035156,73.5193099975586,4428100
2014-01-08,102.44999694824219,102.69000244140625,102.0999984741211,102.58000183105469,73.31919860839844,8513000
2014-01-09,102.97000122070312,103.20999908447266,102.51000213623047,103.18000030517578,73.748046875,6991100
2014-01-10,103.7699966430664,104.54000091552734,103.69000244140625,104.41000366210938,74.62716674804688,13197400
2014-01-13,104.51000213623047,105.13999938964844,104.47000122070312,104.93000030517578,74.99886322021484,9667400
2014-01-14,104.6500015258789,104.83000183105469,104.38999938964844,104.44999694824219,74.65579986572266,10343100
2014-01-15,104.04000091552734,104.51000213623047,103.93000030517578,104.33999633789062,74.5771713256836,7507500
2014-01-16,104.8499984741211,105.06999969482422,104.72000122070312,105.04000091552734,75.07749938964844,7137700
2014-01-17,104.86000061035156,105.5199966430664,104.79000091552734,105.4800033569336,75.3919448852539,7588600
2014-01-21,105.44999694824219,105.73999786376953,105.4000015258789,105.55999755859375,75.44915771484375,6436000
2014-01-22,105.37000274658203,105.75,105.23999786376953,105.30000305175781,75.26332092285156,4646700
2014-01-23,105.87999725341797,107.08999633789062,105.87999725341797,106.79000091552734,76.32833862304688,12960600
2014-01-24,107.19000244140625,107.48999786376953,106.98999786376953,107.4800033569336,76.82149505615234,11122200
2014-01-27,107.22000122070312,107.5999984741211,106.69999694824219,106.7300033569336,76.28543090820312,9218200
2014-01-28,106.91000366210938,106.98999786376953,106.55000305175781,106.98999786376953,76.47127532958984,5661500
2014-01-29,107.37000274658203,108.1500015258789,106.98999786376953,107.87000274658203,77.1002197265625,11709400
2014-01-30,107.47000122070312,107.66999816894531,107.11000061035156,107.55999755859375,76.87863159179688,5956900
2014-01-31,108.19999694824219,108.41000366210938,107.8499984741211,108.27999877929688,77.39327239990234,14690900
2014-02-03,107.79000091552734,109.33999633789062,107.61000061035156,109.31999969482422,78.33631896972656,20780300
2014-02-04,108.5199966430664,108.66999816894531,107.97000122070312,108.16000366210938,77.50508880615234,9573500
2014-02-05,107.69000244140625,107.77999877929688,107.01000213623047,107.16000366210938,76.78846740722656,10312200
2014-02-06,106.97000122070312,107.0199966430664,106.5199966430664,106.69999694824219,76.4588623046875,5708700
2014-02-07,106.45999908447266,107.22000122070312,106.44000244140625,106.79000091552734,76.52334594726562,7039200
2014-02-10,106.61000061035156,107.12000274658203,106.56999969482422,107.08999633789062,76.7383041381836,4370500
2014-02-11,106.61000061035156,106.69000244140625,106.16000366210938,106.47000122070312,76.29408264160156,5904900
2014-02-12,106.16999816894531,106.20999908447266,105.62000274658203,105.91999816894531,75.89993286132812,6723300
2014-02-13,106.58999633789062,106.7300033569336,106.30000305175781,106.5199966430664,76.32987976074219,6874600
2014-02-14,106.56999969482422,106.63999938964844,106.2699966430664,106.58000183105469,76.37286376953125,4989100
2014-02-18,106.66000366210938,107.19999694824219,106.62000274658203,106.81999969482422,76.54484558105469,4855800
2014-02-19,107.18000030517578,107.18000030517578,106.30000305175781,106.37000274658203,76.2223892211914,5522500
2014-02-20,106.31999969482422,106.62999725341797,105.69000244140625,106.11000061035156,76.0361099243164,5103200
2014-02-21,105.94999694824219,106.68000030517578,105.94999694824219,106.66999816894531,76.4373550415039,5250700
